(0, (0, 0), (0, 0), 'false', 0)
(1, (0, 0), (0, 0), 'false', 0)
(2, (0, 0), (0, 0), 'false', 0)
(3, (0, 0), (0, 0), 'false', 0)
(4, (0, 0), (0, 0), 'false', 0)
(5, (0, 0), (0, 0), 'false', 0)
(6, (1039, 401), (54, 49), 'true', 206)
(7, (980, 283), (43, 50), 'true', 259)
(8, (935, 426), (46, 57), 'true', 279)
(9, (901, 273), (45, 57), 'true', 254)
(10, (944, 180), (47, 60), 'true', 279)
(11, (831, 361), (47, 56), 'true', 248)
(12, (835, 426), (47, 60), 'true', 285)
(13, (937, 516), (47, 59), 'true', 275)
(14, (901, 559), (43, 61), 'true', 271)
(15, (987, 550), (58, 65), 'true', 237)
(16, (1001, 562), (52, 59), 'true', 305)
(17, (1004, 500), (52, 59), 'true', 305)
(18, (914, 435), (51, 59), 'true', 305)
(19, (960, 412), (51, 59), 'true', 288)
(20, (1054, 453), (67, 60), 'true', 131)
(21, (1027, 562), (56, 64), 'true', 131)
(22, (858, 602), (69, 52), 'true', 157)
(23, (849, 490), (59, 59), 'true', 58)
(24, (988, 478), (48, 45), 'true', 319)
(25, (976, 559), (68, 53), 'true', 346)
(26, (979, 563), (44, 56), 'true', 307)
(27, (1021, 527), (55, 56), 'true', 237)
(28, (1039, 602), (55, 56), 'true', 237)
(29, (1043, 572), (49, 66), 'true', 280)
(30, (1014, 591), (45, 56), 'true', 179)
(31, (1020, 615), (49, 57), 'true', 307)
(32, (883, 482), (49, 60), 'true', 245)
(33, (974, 581), (49, 60), 'true', 269)
(34, (862, 652), (56, 47), 'true', 236)
(35, (1011, 609), (56, 35), 'true', 236)
(36, (960, 631), (56, 35), 'true', 212)
(37, (970, 655), (56, 35), 'true', 181)
(38, (941, 646), (56, 35), 'true', 181)
(39, (918, 615), (56, 35), 'true', 181)
(40, (900, 628), (65, 42), 'true', 181)
(41, (905, 640), (65, 42), 'true', 181)
(42, (887, 646), (65, 42), 'true', 196)
(43, (902, 634), (65, 42), 'true', 11)
(44, (904, 640), (65, 42), 'true', 11)
(45, (860, 602), (51, 45), 'true', 217)
(46, (895, 594), (51, 45), 'true', 217)
(47, (900, 657), (62, 45), 'true', 22)
(48, (875, 630), (52, 50), 'true', 68)
(49, (876, 574), (72, 53), 'true', 353)
(50, (923, 616), (34, 44), 'true', 277)
(51, (927, 575), (34, 54), 'true', 265)
(52, (969, 603), (45, 58), 'true', 297)
(53, (856, 605), (61, 48), 'true', 345)
(54, (836, 625), (51, 51), 'true', 247)
(55, (951, 553), (51, 51), 'true', 261)
(56, (819, 576), (56, 48), 'true', 221)
(57, (897, 580), (46, 50), 'true', 48)
(58, (962, 620), (53, 50), 'true', 311)
(59, (949, 576), (46, 58), 'true', 261)
(60, (924, 555), (46, 58), 'true', 261)
(61, (1015, 553), (51, 55), 'true', 231)
(62, (1015, 553), (43, 49), 'true', 249)
(63, (979, 503), (52, 56), 'true', 263)
(64, (902, 426), (52, 56), 'true', 275)
(65, (956, 430), (52, 56), 'true', 303)
(66, (1008, 404), (52, 56), 'true', 254)
(67, (1085, 422), (52, 56), 'true', 273)
(68, (1053, 513), (52, 56), 'true', 273)
(69, (917, 398), (48, 53), 'true', 310)
(70, (933, 507), (58, 53), 'true', 224)
(71, (825, 474), (58, 53), 'true', 302)
(72, (876, 434), (58, 53), 'true', 302)
(73, (984, 386), (58, 53), 'true', 247)
(74, (1042, 497), (58, 53), 'true', 247)
(75, (1043, 570), (58, 56), 'true', 274)
(76, (911, 510), (62, 56), 'true', 323)
(77, (937, 479), (53, 52), 'true', 236)
(78, (922, 504), (53, 57), 'true', 263)
(79, (962, 532), (53, 57), 'true', 254)
(80, (829, 445), (53, 57), 'true', 199)
(81, (783, 371), (53, 57), 'true', 54)
(82, (878, 481), (47, 54), 'true', 37)
(83, (911, 485), (70, 52), 'true', 346)
(84, (894, 510), (49, 52), 'true', 298)
(85, (973, 501), (49, 59), 'true', 275)
(86, (1016, 514), (40, 52), 'true', 258)
(87, (1043, 559), (46, 53), 'true', 262)
(88, (1050, 547), (45, 51), 'true', 262)
